score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
prompt_token_pos,adversarial,negative_related_present,1272,1272,0,186,0,0,1086,0.14622641509433962,0.0,0.07311320754716981,1.0,0.0,0.14622641509433962,
prompt_token_pos,adversarial,negative_absent_plain,228,228,0,125,0,0,103,0.5482456140350878,0.0,0.2741228070175439,1.0,0.0,0.5482456140350878,
prompt_token_pos,macro,all,9000,4500,4500,1088,636,3864,3412,0.24177777777777779,0.14133333333333334,0.5502222222222223,0.6310904872389791,0.12762138659160188,0.19155555555555556,0.5177072592592593
prompt_token_pos,macro,present,4500,0,4500,0,636,3864,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
prompt_token_pos,macro,absent,4500,4500,0,1088,0,0,3412,0.24177777777777779,0.0,0.12088888888888889,1.0,0.0,0.24177777777777779,
prompt_token_pos,macro,negative_related_present,3092,3092,0,566,0,0,2526,0.18305304010349288,0.0,0.09152652005174644,1.0,0.0,0.18305304010349288,
prompt_token_pos,macro,negative_absent_plain,1408,1408,0,522,0,0,886,0.37073863636363635,0.0,0.18536931818181818,1.0,0.0,0.37073863636363635,
target_span_len,random,all,3000,1500,1500,407,212,1288,1093,0.2713333333333333,0.14133333333333334,0.565,0.6575121163166397,0.16062368646402225,0.20633333333333334,0.6048455555555555
target_span_len,random,present,1500,0,1500,0,212,1288,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
target_span_len,random,absent,1500,1500,0,407,0,0,1093,0.2713333333333333,0.0,0.13566666666666666,1.0,0.0,0.2713333333333333,
target_span_len,random,negative_related_present,840,840,0,243,0,0,597,0.2892857142857143,0.0,0.14464285714285716,1.0,0.0,0.2892857142857143,
target_span_len,random,negative_absent_plain,660,660,0,164,0,0,496,0.24848484848484848,0.0,0.12424242424242424,1.0,0.0,0.24848484848484848,
target_span_len,popular,all,3000,1500,1500,370,212,1288,1130,0.24666666666666667,0.14133333333333334,0.5526666666666666,0.6357388316151202,0.13318872036232157,0.194,0.434612
target_span_len,popular,present,1500,0,1500,0,212,1288,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
target_span_len,popular,absent,1500,1500,0,370,0,0,1130,0.24666666666666667,0.0,0.12333333333333334,1.0,0.0,0.24666666666666667,
target_span_len,popular,negative_related_present,980,980,0,137,0,0,843,0.13979591836734695,0.0,0.06989795918367347,1.0,0.0,0.13979591836734695,
target_span_len,popular,negative_absent_plain,520,520,0,233,0,0,287,0.4480769230769231,0.0,0.22403846153846155,1.0,0.0,0.4480769230769231,
target_span_len,adversarial,all,3000,1500,1500,311,212,1288,1189,0.20733333333333334,0.14133333333333334,0.533,0.5946462715105163,0.0869803892511657,0.17433333333333334,0.5136642222222222
target_span_len,adversarial,present,1500,0,1500,0,212,1288,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
target_span_len,adversarial,absent,1500,1500,0,311,0,0,1189,0.20733333333333334,0.0,0.10366666666666667,1.0,0.0,0.20733333333333334,
target_span_len,adversarial,negative_related_present,1272,1272,0,186,0,0,1086,0.14622641509433962,0.0,0.07311320754716981,1.0,0.0,0.14622641509433962,
target_span_len,adversarial,negative_absent_plain,228,228,0,125,0,0,103,0.5482456140350878,0.0,0.2741228070175439,1.0,0.0,0.5482456140350878,
target_span_len,macro,all,9000,4500,4500,1088,636,3864,3412,0.24177777777777779,0.14133333333333334,0.5502222222222223,0.6310904872389791,0.12762138659160188,0.19155555555555556,0.5177072592592593
target_span_len,macro,present,4500,0,4500,0,636,3864,0,0.0,0.14133333333333334,0.42933333333333334,0.0,0.0,0.14133333333333334,
target_span_len,macro,absent,4500,4500,0,1088,0,0,3412,0.24177777777777779,0.0,0.12088888888888889,1.0,0.0,0.24177777777777779,
target_span_len,macro,negative_related_present,3092,3092,0,566,0,0,2526,0.18305304010349288,0.0,0.09152652005174644,1.0,0.0,0.18305304010349288,
target_span_len,macro,negative_absent_plain,1408,1408,0,522,0,0,886,0.37073863636363635,0.0,0.18536931818181818,1.0,0.0,0.37073863636363635,
target_char_len,random,all,3000,1500,1500,177,186,1314,1323,0.118,0.124,0.497,0.48760330578512395,-0.009198862600293883,0.121,0.47987466666666667
target_char_len,random,present,1500,0,1500,0,186,1314,0,0.0,0.124,0.438,0.0,0.0,0.124,
target_char_len,random,absent,1500,1500,0,177,0,0,1323,0.118,0.0,0.059,1.0,0.0,0.118,
target_char_len,random,negative_related_present,840,840,0,96,0,0,744,0.11428571428571428,0.0,0.05714285714285714,1.0,0.0,0.11428571428571428,
target_char_len,random,negative_absent_plain,660,660,0,81,0,0,579,0.12272727272727273,0.0,0.06136363636363636,1.0,0.0,0.12272727272727273,
