score,split,subset,samples,absent,present,tp_absent,fp_present,tn_present,fn_absent,absent_tpr,present_fpr,balanced_accuracy,precision_absent,mcc,predicted_absent_rate,auroc
prompt_token_pos,adversarial,negative_related_present,54,54,0,13,0,0,41,0.24074074074074073,0.0,0.12037037037037036,1.0,0.0,0.24074074074074073,
prompt_token_pos,adversarial,negative_absent_plain,6,6,0,2,0,0,4,0.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,
prompt_token_pos,macro,all,360,180,180,53,60,120,127,0.29444444444444445,0.3333333333333333,0.4805555555555555,0.4690265486725664,-0.04189964483360775,0.3138888888888889,0.49916666666666665
prompt_token_pos,macro,present,180,0,180,0,60,120,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
prompt_token_pos,macro,absent,180,180,0,53,0,0,127,0.29444444444444445,0.0,0.14722222222222223,1.0,0.0,0.29444444444444445,
prompt_token_pos,macro,negative_related_present,134,134,0,37,0,0,97,0.27611940298507465,0.0,0.13805970149253732,1.0,0.0,0.27611940298507465,
prompt_token_pos,macro,negative_absent_plain,46,46,0,16,0,0,30,0.34782608695652173,0.0,0.17391304347826086,1.0,0.0,0.34782608695652173,
target_span_len,random,all,120,60,60,17,20,40,43,0.2833333333333333,0.3333333333333333,0.475,0.4594594594594595,-0.05413539955388112,0.30833333333333335,0.5131944444444444
target_span_len,random,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_span_len,random,absent,60,60,0,17,0,0,43,0.2833333333333333,0.0,0.14166666666666666,1.0,0.0,0.2833333333333333,
target_span_len,random,negative_related_present,40,40,0,13,0,0,27,0.325,0.0,0.1625,1.0,0.0,0.325,
target_span_len,random,negative_absent_plain,20,20,0,4,0,0,16,0.2,0.0,0.1,1.0,0.0,0.2,
target_span_len,popular,all,120,60,60,21,20,40,39,0.35,0.3333333333333333,0.5083333333333333,0.5121951219512195,0.01757092099429725,0.3416666666666667,0.47694444444444445
target_span_len,popular,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_span_len,popular,absent,60,60,0,21,0,0,39,0.35,0.0,0.175,1.0,0.0,0.35,
target_span_len,popular,negative_related_present,40,40,0,11,0,0,29,0.275,0.0,0.1375,1.0,0.0,0.275,
target_span_len,popular,negative_absent_plain,20,20,0,10,0,0,10,0.5,0.0,0.25,1.0,0.0,0.5,
target_span_len,adversarial,all,120,60,60,15,20,40,45,0.25,0.3333333333333333,0.4583333333333333,0.42857142857142855,-0.09166984970282113,0.2916666666666667,0.5073611111111112
target_span_len,adversarial,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_span_len,adversarial,absent,60,60,0,15,0,0,45,0.25,0.0,0.125,1.0,0.0,0.25,
target_span_len,adversarial,negative_related_present,54,54,0,13,0,0,41,0.24074074074074073,0.0,0.12037037037037036,1.0,0.0,0.24074074074074073,
target_span_len,adversarial,negative_absent_plain,6,6,0,2,0,0,4,0.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,
target_span_len,macro,all,360,180,180,53,60,120,127,0.29444444444444445,0.3333333333333333,0.4805555555555555,0.4690265486725664,-0.04189964483360775,0.3138888888888889,0.49916666666666665
target_span_len,macro,present,180,0,180,0,60,120,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_span_len,macro,absent,180,180,0,53,0,0,127,0.29444444444444445,0.0,0.14722222222222223,1.0,0.0,0.29444444444444445,
target_span_len,macro,negative_related_present,134,134,0,37,0,0,97,0.27611940298507465,0.0,0.13805970149253732,1.0,0.0,0.27611940298507465,
target_span_len,macro,negative_absent_plain,46,46,0,16,0,0,30,0.34782608695652173,0.0,0.17391304347826086,1.0,0.0,0.34782608695652173,
target_char_len,random,all,120,60,60,20,20,40,40,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.4488888888888889
target_char_len,random,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_char_len,random,absent,60,60,0,20,0,0,40,0.3333333333333333,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,
target_char_len,random,negative_related_present,40,40,0,11,0,0,29,0.275,0.0,0.1375,1.0,0.0,0.275,
target_char_len,random,negative_absent_plain,20,20,0,9,0,0,11,0.45,0.0,0.225,1.0,0.0,0.45,
target_char_len,popular,all,120,60,60,30,20,40,30,0.5,0.3333333333333333,0.5833333333333333,0.6,0.1690308509457033,0.4166666666666667,0.5347222222222222
target_char_len,popular,present,60,0,60,0,20,40,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,
target_char_len,popular,absent,60,60,0,30,0,0,30,0.5,0.0,0.25,1.0,0.0,0.5,
target_char_len,popular,negative_related_present,40,40,0,23,0,0,17,0.575,0.0,0.2875,1.0,0.0,0.575,
target_char_len,popular,negative_absent_plain,20,20,0,7,0,0,13,0.35,0.0,0.175,1.0,0.0,0.35,
