method,score,call_rate,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,precision,recall_tpr,fpr,tnr,f1,balanced_accuracy,mcc,yes_rate
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,random,negative_related_present,840,0,25,815,0,0.9702380952380952,0.0,0.0,0.02976190476190476,0.9702380952380952,0.0,0.4851190476190476,0.0,0.02976190476190476
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,random,negative_absent_plain,660,0,4,656,0,0.9939393939393939,0.0,0.0,0.006060606060606061,0.9939393939393939,0.0,0.49696969696969695,0.0,0.006060606060606061
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,macro,all,9000,3629,231,4269,871,0.8775555555555555,0.9401554404145078,0.8064444444444444,0.051333333333333335,0.9486666666666667,0.8681818181818183,0.8775555555555555,0.7628658302177469,0.4288888888888889
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,macro,positive,4500,3629,0,0,871,0.8064444444444444,1.0,0.8064444444444444,0.0,0.0,0.8928527494156723,0.4032222222222222,0.0,0.8064444444444444
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,macro,negative,4500,0,231,4269,0,0.9486666666666667,0.0,0.0,0.051333333333333335,0.9486666666666667,0.0,0.47433333333333333,0.0,0.051333333333333335
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,macro,negative_related_present,3092,0,214,2878,0,0.9307891332470892,0.0,0.0,0.06921086675291074,0.9307891332470892,0.0,0.4653945666235446,0.0,0.06921086675291074
full_tdev,lh_shape_pope_layers_22_31,1.0,9000,0.0,macro,negative_absent_plain,1408,0,17,1391,0,0.9879261363636364,0.0,0.0,0.012073863636363636,0.9879261363636364,0.0,0.4939630681818182,0.0,0.012073863636363636
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,adversarial,all,3000,1218,220,1280,282,0.8326666666666667,0.847009735744089,0.812,0.14666666666666667,0.8533333333333334,0.829135466303608,0.8326666666666667,0.6659024051264104,0.47933333333333333
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,adversarial,positive,1500,1218,0,0,282,0.812,1.0,0.812,0.0,0.0,0.8962472406181016,0.406,0.0,0.812
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,adversarial,negative,1500,0,220,1280,0,0.8533333333333334,0.0,0.0,0.14666666666666667,0.8533333333333334,0.0,0.4266666666666667,0.0,0.14666666666666667
all_selected,lh_shape_pope_layers_22_31,0.1,900,0.9,adversarial,negative_related_present,1272,0,208,1064,0,0.8364779874213837,0.0,0.0,0.16352201257861634,0.8364779874213837,0.0,0.41823899371069184,0.0,0.16352201257861634
