method,score,selection_rate,selected_rows,detector_calls,detector_call_savings,split,subset,samples,tp,fp,tn,fn,accuracy,mcc,tpr,fpr,tnr,precision,f1,yes_rate
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,popular,all,3000,945,54,1446,555,0.797,0.6301898667891573,0.63,0.036,0.964,0.9459459459459459,0.7563025210084033,0.333
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,popular,negative_related_present,980,0,49,931,0,0.95,0.0,0.0,0.05,0.95,0.0,0.0,0.05
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,adversarial,all,3000,944,124,1376,556,0.7733333333333333,0.5708534958800052,0.6293333333333333,0.08266666666666667,0.9173333333333333,0.8838951310861424,0.7352024922118381,0.356
lh_alone_base_yes_suppress,lh_shape_pope_layers_22_31,0.25,1013,0,1.0,adversarial,negative_related_present,1272,0,120,1152,0,0.9056603773584906,0.0,0.0,0.09433962264150944,0.9056603773584906,0.0,0.0,0.09433962264150944
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,macro,all,9000,3656,320,4180,844,0.8706666666666667,0.7464110131874171,0.8124444444444444,0.07111111111111111,0.9288888888888889,0.9195171026156942,0.8626710712600283,0.44177777777777777
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,macro,negative_related_present,3092,0,296,2796,0,0.9042690815006468,0.0,0.0,0.09573091849935317,0.9042690815006468,0.0,0.0,0.09573091849935317
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,random,all,3000,1219,41,1459,281,0.8926666666666667,0.7955828153344341,0.8126666666666666,0.027333333333333334,0.9726666666666667,0.9674603174603175,0.8833333333333334,0.42
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,random,negative_related_present,840,0,35,805,0,0.9583333333333334,0.0,0.0,0.041666666666666664,0.9583333333333334,0.0,0.0,0.041666666666666664
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,popular,all,3000,1219,88,1412,281,0.877,0.7603198554825001,0.8126666666666666,0.058666666666666666,0.9413333333333334,0.9326702371843917,0.8685429283933024,0.43566666666666665
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,popular,negative_related_present,980,0,78,902,0,0.9204081632653062,0.0,0.0,0.07959183673469387,0.9204081632653062,0.0,0.0,0.07959183673469387
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,adversarial,all,3000,1218,191,1309,282,0.8423333333333334,0.6859300940337532,0.812,0.12733333333333333,0.8726666666666667,0.8644428672817601,0.8374011687865246,0.4696666666666667
lh_to_tdev_all,lh_shape_pope_layers_22_31,0.5,4500,4500,0.5,adversarial,negative_related_present,1272,0,183,1089,0,0.8561320754716981,0.0,0.0,0.14386792452830188,0.8561320754716981,0.0,0.0,0.14386792452830188
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,macro,all,9000,3606,250,4250,894,0.8728888888888889,0.7535341853213775,0.8013333333333333,0.05555555555555555,0.9444444444444444,0.9351659751037344,0.8630923887027286,0.42844444444444446
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,macro,negative_related_present,3092,0,231,2861,0,0.9252910737386805,0.0,0.0,0.07470892626131953,0.9252910737386805,0.0,0.0,0.07470892626131953
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,random,all,3000,1202,30,1470,298,0.8906666666666667,0.7941108455523068,0.8013333333333333,0.02,0.98,0.9756493506493507,0.8799414348462664,0.4106666666666667
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,random,negative_related_present,840,0,26,814,0,0.969047619047619,0.0,0.0,0.030952380952380953,0.969047619047619,0.0,0.0,0.030952380952380953
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,popular,all,3000,1202,68,1432,298,0.878,0.7650470458644176,0.8013333333333333,0.04533333333333334,0.9546666666666667,0.9464566929133859,0.867870036101083,0.42333333333333334
lh_to_tdev_base_yes,lh_shape_pope_layers_22_31,0.5,2025,2025,0.775,popular,negative_related_present,980,0,60,920,0,0.9387755102040817,0.0,0.0,0.061224489795918366,0.9387755102040817,0.0,0.0,0.061224489795918366
